Source,Target
Alice,Bob
Alice,Charlie
Alice,David
Alice,Eve
Alice,Frank
Alice,Grace
Alice,Hannah
Alice,Ian
Alice,Jack
Alice,Kate
Alice,Leo
Alice,Mike
Alice,Nina
Alice,Olivia
Bob,Paul
Bob,Quinn
Bob,Ryan
Bob,Sophia
Bob,Tom
Bob,Umar
Bob,Vera
Bob,Wendy
Bob,Xander
Bob,Yara
Bob,Zack
Charlie,Aaron
Charlie,Bella
Charlie,Carl
Charlie,Diana
Charlie,Ethan
Charlie,Fiona
Charlie,George
Charlie,Helen
Charlie,Iris
Charlie,Jason
Charlie,Karen
David,Liam
David,Mona
David,Noah
David,Oscar
David,Penny
David,Queen
David,Rachel
David,Steve
David,Tina
David,Ursula
David,Vinay
Eve,Alice
Frank,Bob
Grace,Charlie
Hannah,David
Ian,Eve
Jack,Frank
Kate,Grace
Leo,Hannah
Mike,Ian
Nina,Jack
Olivia,Kate
Paul,Leo
Quinn,Mike
Ryan,Nina
Sophia,Olivia
Tom,Paul
Umar,Quinn
Vera,Ryan
Wendy,Sophia
Xander,Tom
Yara,Umar
Zack,Vera
Aaron,Wendy
Bella,Xander
Carl,Yara
Diana,Zack
Ethan,Alice
Fiona,Bob
George,Charlie
Helen,David
Iris,Eve
Jason,Frank
Karen,Grace
Liam,Hannah
Mona,Ian
Noah,Jack
Oscar,Kate
Penny,Leo
Queen,Mike
Rachel,Nina
Steve,Olivia
Tina,Paul
Ursula,Quinn
Vinay,Ryan
Alice,Paul
Alice,Ryan
Bob,Charlie
Charlie,David
David,Alice
Bob,David
Charlie,Alice
